Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
297,UTSA,CUSA,27,6–21,101.4,115,0.1903,47.9,54.9,23.2,17.1,34.5,33.1,51.5,44,46.6,54.3,33.4,37.3,35.4,38.5,68.6,-14.8
298,Navy,Pat,29,8–21,92.8,105.3,0.1902,45.8,51.2,20,20.8,29.7,29.8,29.4,43.2,43.7,49.8,32.9,35.7,37.5,37.9,63.7,-15.7
299,Jackson St.,SWAC,31,11–20,93.2,105.8,0.1892,45.2,49.4,21.9,21.2,33.4,30.3,40.3,55.8,45.6,47.9,29.3,34.7,24.2,36.5,67.1,-15.2
300,Montana St.,BSky,29,12–17,95.1,108,0.1879,48,53.8,18,19.6,25.8,27.4,39.3,38.7,46.8,52.6,33.8,37.3,31.5,35.7,65.9,-13.1
301,Jacksonville,ASun,28,10–18,102.4,116.4,0.1869,48.9,55.7,19.4,18.9,32.7,35.2,42.2,38.9,48.3,54.2,33.5,39,31.8,34.5,69.7,-12.7
302,UC Davis,BW,29,7–22,101.7,115.6,0.1868,49.9,55.8,17.3,18.3,23.9,35.6,37.2,38.8,48.3,54.4,34.9,39.2,39.9,31.1,67,-16.3
303,Northern Kentucky,ASun,30,9–21,102.2,116.4,0.1834,50.6,53.3,17.8,16.8,28.4,32.2,35.7,48.8,49.4,51.7,34.9,37.7,40.4,33.8,63.4,-16
304,Nicholls St.,Slnd,28,13–15,97.7,111.4,0.1804,49.8,51.7,18.2,19.2,28.2,31.2,39.5,60.7,52.2,52.2,30.4,33.7,37.1,28.8,65.5,-10.3
305,Tennessee St.,OVC,29,4–25,99.5,113.6,0.1784,47.1,52.3,18.4,16.6,31.9,33,43,51.4,48.4,52.8,29.4,34.1,31.1,33.6,65.5,-18.1
306,Jacksonville St.,OVC,29,8–21,97.9,111.9,0.176,46.4,53.7,17.5,19.3,31.1,34.7,41.4,47.6,45.9,52,31.6,38.7,33.2,27.2,62.8,-15.7
307,Sacred Heart,NEC,31,5–26,98.9,113.2,0.1748,46.7,52.3,17.6,18.4,32.4,33,35.7,44.2,45.5,52.8,32.7,34.2,32.8,36.5,68,-21.1
308,Florida A&M,MEAC,30,12–18,94.3,107.9,0.1741,44.4,47.8,20.4,20.6,35.6,35.8,33.9,56.3,42.5,47.2,32.3,32.8,31.9,28.9,71.8,-13.5
