Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
167,Youngstown St.,Horz,29,14–15,104.3,104.3,0.5002,50.7,49.2,17.5,19.4,27.9,35.1,30.5,32.4,46.7,46.7,37.7,36.3,40.8,32.1,65.4,-8.5
168,Houston,CUSA,29,14–15,104.6,104.9,0.4918,50.8,49,21.5,17.3,35.4,33.7,32.9,29.5,50.2,47,35.1,35.7,27.2,30,67.5,-8.5
169,Tulane,CUSA,29,13–16,97.4,97.8,0.4895,47.3,47.9,19.8,21.9,30.4,29.4,40.4,35.6,45.9,47.2,33.4,32.9,33.7,32.8,65.4,-9.4
170,Little Rock,SB,30,14–16,96.9,97.2,0.4893,44.7,48.2,18.9,21.7,27.5,31.4,40.9,45.4,42.4,46.8,33.3,33.7,29.7,35.7,65.2,-8.6
171,Cal St. Fullerton,BW,28,19–9,106.5,106.9,0.4892,54.7,51,22.1,19.3,35.8,30.5,39.5,37.5,50.8,48,40.7,38.3,37.9,31.5,69,-4.5
172,Yale,Ivy,26,17–9,99,99.4,0.4892,47.8,47,21.3,19,32.7,28.7,43.1,32.3,46.5,45.5,33.7,33.7,31.6,29.9,67.1,-3
173,Western Illinois,Sum,30,16–14,96.6,97,0.4888,51.1,50.2,18.7,20.7,23.6,27.1,34.4,32.7,47.9,48.7,39.6,35.3,27.7,34.2,58.7,-7.4
174,Western Michigan,MAC,33,13–20,103.3,103.8,0.4875,49.1,48.7,21.7,15.9,35.6,30.7,40.9,34.9,48.2,47.7,33.8,33.6,33.1,35.3,66.3,-10.8
175,Savannah St.,MEAC,30,19–11,94.6,95,0.4868,47,46.7,23.3,24.1,38.4,30,39.5,45.1,45.7,48.1,33.1,28.4,32.8,25.2,63.7,-5.6
176,UTSA,Slnd,30,16–14,102.3,102.9,0.4837,51.5,49.9,20.2,22.5,28.1,33.5,37.1,34.4,47.2,50.3,39.1,32.9,37.8,43,68.1,-8.5
177,Miami OH,MAC,29,8–21,101.1,102.2,0.4689,50.7,50.6,21.7,18.9,26.9,32.3,31.3,36,48.5,49.9,35.8,34.9,42.1,29.9,60.7,-12.1
178,North Texas,SB,29,15–14,97.9,99.2,0.4621,47,46.6,20.8,20.7,33.7,30.5,34.4,34.6,46.4,45.7,32.4,32.4,26.5,31.9,68.8,-8
179,Air Force,MWC,27,11–16,98.5,100,0.4564,51.1,48.4,20.6,21.5,19.8,31.5,39.4,38.2,51.8,48.4,33.3,32.3,40,41.6,62.3,-7.6
180,Ball St.,MAC,29,14–15,99.2,100.7,0.4563,48.4,47.8,20.9,22,33.6,33,39.7,33.3,47.4,44.4,33.3,35.9,37.7,36.1,63.1,-9.7
181,Toledo,MAC,32,16–16,102.5,104.2,0.4549,50.4,49.4,20.7,21.1,32,36.9,39.3,31.7,48.3,49.3,36.6,33,31,36.4,66.8,-10.7
182,Columbia,Ivy,28,13–15,99.5,101.2,0.4527,48.8,47.9,19.6,19,28.6,26.9,32.2,36.3,45.9,45,36.3,36.7,34.2,29,63.4,-9.1
183,Tennessee Tech,OVC,30,17–13,102.4,104.2,0.4515,51.6,50.8,21.9,21.3,34,32.2,43.6,38.3,49.9,48.7,37.3,36.7,28.7,32,68.5,-6.8
184,George Washington,A10,31,10–21,99.6,101.3,0.4498,46.2,50.6,20.6,21.4,35.8,35.5,28.5,36.3,45.4,48,32.6,37.8,23,30,63.8,-9.5
185,Florida Atlantic,SB,29,10–19,99.9,101.8,0.448,46.7,48.3,18.5,21,32.7,34.8,28.9,43.2,44.9,46.4,33.3,36.3,35.2,23.6,64.8,-10.6
186,Wake Forest,ACC,31,13–18,101.5,103.4,0.4475,47.9,50.2,19.1,18.2,25.8,33.6,40.9,30.8,46.9,48.6,33.3,35.5,30.9,34.4,67.2,-8.1
187,Fresno St.,WAC,31,11–20,99.9,101.8,0.4468,46,50.4,16.5,21.9,29.1,34.6,36.1,45.7,45.5,51,31.4,32.7,34.1,33.5,63,-12.4
188,Green Bay,Horz,28,13–15,98.9,100.8,0.4438,47.1,48.4,22.3,19.4,33.5,32.5,32.3,34.3,44.5,45.3,35.7,37.3,28.6,28.8,67,-6.8
189,North Florida,ASun,31,15–16,100.9,103,0.4396,51.5,50,22.9,20,33.6,34.6,37.2,36,50.5,49.1,35.8,34.8,32.3,27.4,66.6,-6.7
190,Norfolk St.,MEAC,32,24–8,97.8,99.9,0.4394,49.7,45.4,21.4,19.7,33.6,33,43.7,37.2,50.9,45.3,31.4,30.5,31.4,32,68,-2.7
191,Northeastern,CAA,31,14–17,98.7,100.9,0.4373,48.2,49.2,24.1,22.1,34.1,34.5,37.9,40.2,46.3,49.1,34.8,33.1,30.7,30.7,64.6,-8.3
192,Coastal Carolina,BSth,26,15–11,100.7,103.1,0.4343,51.5,47.1,20.5,16.9,33.9,30.6,31.4,34.3,51.6,43.8,34.2,35.5,25.2,34.9,65,-7.1
193,Louisiana,SB,30,15–15,93.8,96,0.4342,47.4,45.1,23.1,19.2,33,31.1,42.4,40.6,46.8,42.7,32.5,34.2,29.2,27.2,69.7,-8.5
194,Wofford,SC,30,17–13,100,102.4,0.4341,49.8,48.6,18.6,17.6,31.5,27.4,28,33.5,49.7,47.9,33.4,33.4,37.5,32.4,61.9,-7.5
195,Charleston Southern,BSth,28,16–12,102,104.6,0.4282,50.5,53.1,18.6,22.4,33.1,30.7,35.3,34.5,47.4,52.3,37.2,36.4,36.8,34.8,70.4,-6.4
196,St. Francis NY,NEC,30,15–15,96.5,99.2,0.4229,50.2,48.1,23,21.2,32.6,29.4,35,46,48.2,49.2,35.6,30.3,39.9,28.1,69,-10.3
197,Albany,AE,33,19–14,107,110,0.4221,50.9,51.9,19,19.7,35.5,32.4,36.8,27.7,49.3,49.7,35.9,37.3,35.4,34.3,65.9,-8.6
198,Louisiana Tech,WAC,32,16–16,99.5,102.2,0.4211,48.4,49.3,18.6,21.4,30,34,31.5,42.4,47.6,49.3,33.1,32.9,38.2,28.7,67.9,-9
199,SMU,CUSA,30,11–19,96.3,99.3,0.4143,49.4,50.3,20.8,23.1,24.2,33,35.8,36.8,48.4,52,33.7,32,47.2,41.5,60.4,-11.3
200,Florida Gulf Coast,ASun,31,14–17,102.4,105.6,0.4127,52.3,50.3,21.5,20.6,33.8,36.2,34.2,38.5,50.1,48,37.3,36,37.2,38.6,67.5,-9.2
201,Boston University,AE,32,16–16,97.7,100.8,0.4101,48.1,47.3,21,20.1,32.1,32.2,34,31.5,48.3,46.2,31.9,32.8,36.9,35.4,64.7,-9.1
202,Western Kentucky,SB,33,15–18,96.5,99.6,0.4095,44.8,47.4,21.9,21.3,33.6,32.8,40.3,38.8,44.1,46.5,30.8,33.3,33.2,25.7,68.6,-10.2
203,IU Indy,Sum,30,12–18,105.9,109.4,0.4079,49,53.1,17.7,19.8,34,35,35.1,38.7,47.4,52.6,35.2,36.3,28.6,28.7,66.6,-11
204,Tennessee St.,OVC,30,18–12,98.5,101.8,0.406,49.4,51.4,21.8,22.9,33.5,31.3,41.9,36.9,48.4,50,34.3,35.9,32.9,36.4,65.9,-5
205,Central Connecticut,NEC,29,13–16,98.7,102.2,0.4001,47.8,51,20.9,24.4,33.3,36.6,32.4,33.7,46.1,50,34.4,35.3,31,31.8,67.9,-9.8
206,Hofstra,CAA,32,10–22,97.5,101,0.3995,44.9,51.4,20.6,23,33.5,31.7,43.1,39.6,43,50.9,33.3,35,26.9,32.3,66.6,-14.4
207,San Diego,WCC,29,11–18,100.7,104.3,0.3981,50.9,51.9,19.9,20.8,25.7,33.5,35.2,36.1,48.8,49.6,36.6,37.8,33.3,31.9,66.4,-10.9
208,Hawaii,WAC,30,14–16,101.8,105.6,0.395,50.5,48.9,21.4,17.4,34.1,34.1,43.5,35.6,50.8,47.4,33,34.6,27.6,32.1,70.7,-9.5
209,Southern Illinois,MVC,30,8–22,97.7,101.5,0.3911,45.6,52.5,20.9,22,32.5,31.1,35.8,53.1,46.6,49.6,28.6,39.8,28.4,28.6,65.9,-12.4
210,Cornell,Ivy,27,11–16,95.6,99.5,0.3896,47.3,48,19.6,22.3,25.3,31.6,32,41.5,45.1,48.7,33.7,31.3,40.9,37.6,68.9,-8.7
211,Portland St.,BSky,30,15–15,105.7,109.9,0.3893,53.1,51.4,20.2,16,32.4,31.5,45.2,30.1,53.2,51.2,35.2,34.5,30.3,31.1,67.2,-9
212,Eastern Washington,BSky,30,13–17,99.4,103.5,0.3865,47.4,50.9,17.2,22.3,31.1,32.2,35.4,59,43.9,48.6,35,36.8,41.2,33.9,68.5,-10
213,Lipscomb,ASun,30,12–18,99.4,103.5,0.3857,49.4,51.4,20.7,20.5,30.9,35.2,33.8,31.3,46.1,51.8,36.9,33.8,34.7,36.3,69.8,-9.7
